#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
32,1187,58.922,12.20,509.90
Query 6 - 2000 persons - probability 0.25
32,3061,65.844,12.86,1168.36
32,3061,63.946,12.73,1166.73
32,3061,68.603,12.64,1165.32
Query 6 - 2000 persons - probability 0.5
32,11758,111.578,12.65,1360.04
32,11758,97.146,12.80,1367.65
32,11758,112.666,12.54,1231.02
Query 6 - 3500 persons - probability 0.0002
52,2032,167.468,12.42,172.31
52,2032,173.362,12.38,183.82
52,2032,166.245,12.41,197.25
Query 6 - 3500 persons - probability 0.25
52,6578,192.890,11.89,860.05
52,6578,195.291,12.21,1063.86
52,6578,220.391,11.69,706.55
Query 6 - 3500 persons - probability 0.5
52,32117,298.371,10.92,2474.15
52,32117,295.493,10.68,2471.93
52,32117,297.129,10.82,2469.04
Query 7 - 10 persons - probability 0.0002
0,3,0.077,12.82,64.78
0,3,0.074,10.47,65.32
0,3,0.071,10.76,65.18
Query 7 - 10 persons - probability 0.25
0,6,0.119,14.71,64.68
0,6,0.118,9.77,65.38
0,6,0.131,11.84,65.57
Query 7 - 10 persons - probability 0.5
0,10,0.133,10.26,65.29
0,10,0.128,12.11,65.37
0,10,0.125,13.99,65.71
Query 7 - 100 persons - probability 0.0002
1,26,0.598,15.65,84.73
1,26,0.543,15.44,84.71
1,26,0.577,14.93,85.06
Query 7 - 100 persons - probability 0.25
1,70,0.717,14.16,99.42
1,70,0.715,18.58,99.21
1,70,0.727,14.75,99.44
Query 7 - 100 persons - probability 0.5
1,82,0.779,16.52,104.14
1,82,0.786,15.16,103.34
1,82,0.847,17.75,102.42
Query 7 - 500 persons - probability 0.0002
3,125,4.386,13.80,118.89
3,125,5.027,13.44,119.16
3,125,4.495,13.60,119.94
Query 7 - 500 persons - probability 0.25
3,422,5.546,13.24,201.69
3,422,5.546,13.49,202.24
3,422,5.663,13.52,192.41
Query 7 - 500 persons - probability 0.5
3,852,7.526,14.27,355.35
3,852,7.556,13.83,360.59
3,852,7.424,13.60,364.57
Query 7 - 1000 persons - probability 0.0002
7,282,15.093,12.14,176.81
7,282,15.943,12.21,175.89
7,282,13.167,12.37,175.19
Query 7 - 1000 persons - probability 0.25
7,923,17.255,13.01,351.78
7,923,17.975,12.84,352.77
7,923,17.542,12.80,359.98
Query 7 - 1000 persons - probability 0.5
7,2478,24.294,12.90,530.36
7,2478,24.742,13.03,547.60
7,2478,23.880,12.81,529.50
Query 7 - 2000 persons - probability 0.0002
21,573,66.103,12.44,299.97
21,573,60.771,12.50,193.52
21,573,63.153,12.47,275.94
Query 7 - 2000 persons - probability 0.25
21,2279,61.099,12.90,379.03
21,2279,61.545,12.86,376.93
21,2279,61.504,12.79,419.29
Query 7 - 2000 persons - probability 0.5
21,9804,89.388,12.81,716.37
21,9804,87.403,12.78,710.27
21,9804,88.533,12.70,684.67
Query 7 - 3500 persons - probability 0.0002
33,1058,163.687,12.35,183.74
33,1058,165.118,12.39,163.95
33,1058,166.885,12.45,165.73
Query 7 - 3500 persons - probability 0.25
33,5044,184.097,12.18,877.45
33,5044,183.441,12.20,621.86
33,5044,187.220,12.25,706.01
Query 7 - 3500 persons - probability 0.5
33,26719,292.212,11.39,1747.62
33,26719,297.057,11.66,1452.25
33,26719,265.342,12.72,1449.74
Query 8 - 10 persons - probability 0.0002
1,10,0.198,10.87,67.64
1,10,0.176,10.95,66.20
1,10,0.174,13.43,68.14
Query 8 - 10 persons - probability 0.25
