Query execution time,CPU load,Memory usage,#Results,HTTP requests
0.157,13.69,66.30,1,10
Query 8 - 10 persons - probability 0.01
0.153,11.52,67.05,1,10
0.142,13.64,66.31,1,10
0.152,12.75,66.73,1,10
Query 8 - 10 persons - probability 0.016
0.141,8.42,66.50,1,10
0.139,13.93,66.16,1,10
0.143,12.24,66.40,1,10
Query 8 - 100 persons - probability 0.001
0.734,12.50,105.00,1,100
0.714,12.59,105.31,1,100
0.733,14.12,104.55,1,100
Query 8 - 100 persons - probability 0.01
0.704,14.15,104.04,1,100
0.706,14.09,106.45,1,100
0.691,13.57,105.79,1,100
Query 8 - 100 persons - probability 0.016
0.701,14.48,105.73,1,100
0.805,14.55,105.60,1,100
0.710,14.84,104.52,1,100
Query 8 - 500 persons - probability 0.001
3.003,14.89,265.22,1,505
2.854,13.75,266.91,1,505
2.852,13.90,267.80,1,505
Query 8 - 500 persons - probability 0.01
3.016,13.33,267.95,1,510
3.496,11.73,268.50,1,510
2.891,12.70,266.30,1,510
Query 8 - 500 persons - probability 0.016
2.802,14.43,268.47,1,509
3.057,12.84,268.78,1,509
2.977,13.70,268.85,1,509
Query 8 - 1000 persons - probability 0.001
5.481,13.33,437.08,1,1009
5.421,13.04,416.14,1,1009
5.476,14.02,436.25,1,1009
Query 8 - 1000 persons - probability 0.01
5.547,13.77,439.99,1,1016
5.523,13.61,439.05,1,1016
5.787,13.40,426.61,1,1016
Query 8 - 1000 persons - probability 0.016
5.469,14.28,428.96,1,1016
5.482,13.82,429.41,1,1016
5.679,12.83,441.61,1,1016
Query 8 - 2000 persons - probability 0.001
10.463,13.53,824.95,1,2014
10.312,13.98,824.86,1,2014
10.099,13.09,443.75,1,2014
Query 8 - 2000 persons - probability 0.01
10.920,12.20,830.65,1,2023
10.125,12.96,835.37,1,2023
10.607,13.84,824.75,1,2023
Query 8 - 2000 persons - probability 0.016
10.294,14.25,836.26,1,2036
10.236,13.49,841.80,1,2036
11.113,14.16,841.99,1,2036
Query 8 - 3500 persons - probability 0.001
17.405,13.09,1310.71,1,3524
17.498,13.30,1292.84,1,3524
17.223,12.94,1299.41,1,3524
Query 8 - 3500 persons - probability 0.01
17.133,12.57,1292.02,1,3553
17.487,13.14,1296.09,1,3553
18.306,12.58,1301.50,1,3553
Query 8 - 3500 persons - probability 0.016
17.709,13.42,1305.80,1,3545
17.346,13.30,1299.20,1,3545
17.538,13.17,1304.23,1,3545
Query 9 - 10 persons - probability 0.001
0.135,11.57,66.47,12,9
0.136,15.69,66.58,12,9
0.139,12.59,66.28,12,9
Query 9 - 10 persons - probability 0.01
0.142,10.84,66.66,12,9
0.149,9.17,66.14,12,9
0.138,11.23,66.35,12,9
Query 9 - 10 persons - probability 0.016
0.230,14.39,66.58,12,9
0.140,16.67,66.73,12,9
0.133,12.97,65.91,12,9
Query 9 - 100 persons - probability 0.001
0.619,13.89,100.13,12,77
0.620,16.09,99.87,12,77
0.673,11.87,101.17,12,77
Query 9 - 100 persons - probability 0.01
0.648,14.18,99.43,12,77
0.672,14.21,100.92,12,77
0.650,13.83,99.89,12,77
Query 9 - 100 persons - probability 0.016
0.646,16.35,99.61,12,77
0.731,13.34,99.57,12,77
0.622,15.07,101.38,12,77
Query 9 - 500 persons - probability 0.001
2.737,11.56,254.50,12,410
2.638,13.25,254.44,12,410
2.742,13.74,253.76,12,410
Query 9 - 500 persons - probability 0.01
2.702,13.95,255.19,12,415
2.599,13.15,253.76,12,415
2.630,12.10,253.28,12,415
Query 9 - 500 persons - probability 0.016
2.731,13.01,254.51,12,416
2.622,14.15,254.39,12,416
2.802,14.14,255.90,12,416
Query 9 - 1000 persons - probability 0.001
5.166,13.54,392.99,12,806
5.500,13.53,389.20,12,806
4.914,14.23,385.36,12,806
Query 9 - 1000 persons - probability 0.01
4.995,13.96,390.41,12,812
4.917,13.90,385.01,12,812
4.865,14.17,397.69,12,812
Query 9 - 1000 persons - probability 0.016
4.908,13.21,389.75,12,818
4.939,13.76,392.55,12,818
4.942,13.59,390.42,12,818
Query 9 - 2000 persons - probability 0.001
9.213,13.84,785.27,12,1612
10.232,13.28,788.35,12,1612
9.206,13.56,782.56,12,1612
Query 9 - 2000 persons - probability 0.01
9.141,14.53,776.63,12,1622
9.156,14.50,780.59,12,1622
9.168,13.57,782.18,12,1622
Query 9 - 2000 persons - probability 0.016
9.121,13.17,803.75,12,1641
9.791,14.48,796.45,12,1641
9.247,13.49,792.07,12,1641
Query 9 - 3500 persons - probability 0.001
15.080,13.02,1238.70,12,2802
15.775,13.31,1233.16,12,2802
16.146,12.84,1212.66,12,2802
Query 9 - 3500 persons - probability 0.01
15.171,13.49,1228.86,12,2833
15.275,12.88,1236.96,12,2833
15.297,13.16,1234.22,12,2833
Query 9 - 3500 persons - probability 0.016
15.703,13.61,1236.46,12,2833
15.262,13.58,1222.98,12,2833
15.514,13.66,1231.01,12,2833
Query 10 - 10 persons - probability 0.001
0.070,13.91,64.00,0,9
0.065,11.93,63.83,0,9
0.067,17.28,63.66,0,9
Query 10 - 10 persons - probability 0.01
0.070,13.73,63.96,0,9
0.068,17.21,64.14,0,9
0.071,13.37,64.19,0,9
Query 10 - 10 persons - probability 0.016
0.102,13.23,64.50,0,9
0.101,11.52,64.85,0,9
0.109,7.22,64.59,0,9
Query 10 - 100 persons - probability 0.001
0.621,12.28,101.04,0,79
0.500,10.90,78.53,0,79
0.464,12.20,78.39,0,79
Query 10 - 100 persons - probability 0.01
0.203,14.34,71.83,0,77
0.203,19.21,71.48,0,77
0.203,14.27,73.97,0,77
Query 10 - 100 persons - probability 0.016
0.422,10.17,77.75,0,79
0.439,10.71,78.23,0,79
0.634,15.69,99.84,0,79
Query 10 - 500 persons - probability 0.001
2.665,12.81,255.70,25,414
2.833,13.44,255.51,25,414
2.859,14.07,255.98,25,414
Query 10 - 500 persons - probability 0.01
2.650,13.19,260.14,25,426
2.672,13.45,258.85,25,426
2.739,13.54,259.80,25,426
Query 10 - 500 persons - probability 0.016
2.580,14.31,256.60,25,421
2.613,14.95,256.39,25,421
2.712,13.54,257.83,25,421
Query 10 - 1000 persons - probability 0.001
6.181,13.84,403.63,38,814
6.138,14.16,393.72,38,814
6.579,13.36,394.73,38,814
Query 10 - 1000 persons - probability 0.01
6.186,12.95,403.00,38,848
6.247,13.60,400.13,38,848
6.441,13.37,426.20,38,848
Query 10 - 1000 persons - probability 0.016
6.216,13.07,400.48,38,838
6.202,13.10,397.68,38,838
6.199,13.61,395.93,38,838
Query 10 - 2000 persons - probability 0.001
14.256,13.47,794.00,76,1636
14.453,12.78,277.25,76,1636
14.554,13.27,789.31,76,1636
Query 10 - 2000 persons - probability 0.01
14.187,13.82,811.14,76,1687
14.736,13.98,806.00,76,1687
14.044,13.50,803.30,76,1687
Query 10 - 2000 persons - probability 0.016
14.643,13.32,758.68,76,1685
14.106,13.85,813.19,76,1685
14.439,13.92,806.18,76,1685
Query 10 - 3500 persons - probability 0.001
27.573,12.87,1235.18,115,2840
